Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,TicketData
1,2,Miss,female,17.0,0,0,12.0,,C,1748.0
1,1,Mr,male,36.0,1,2,120.0,B96 B98,S,113760.0
1,3,Mr,male,21.0,0,0,7.7958,,S,350034.0
0,3,Mr,male,28.0,2,0,7.925,,S,3101277.0
1,1,Miss,female,23.0,1,0,113.275,D36,C,35273.0
1,3,Mrs,female,24.0,0,2,16.7,G6,S,9549.0
0,3,Mr,male,22.0,0,0,7.7958,,S,350052.0
0,3,Miss,female,31.0,0,0,7.8542,,S,350407.0
0,2,Mr,male,46.0,0,0,26.0,,S,28403.0
0,2,Dr,male,23.0,0,0,10.5,,S,244278.0
1,2,Mrs,female,28.0,0,0,12.65,,S,240929.0
1,3,Mr,male,39.0,0,0,7.925,,S,3101289.0
0,3,Mr,male,26.0,0,0,8.05,,S,341826.0
0,3,Miss,female,21.0,1,0,9.825,,S,4137.0
0,3,Mr,male,28.0,1,0,15.85,,S,3101279.0
0,3,Miss,female,20.0,0,0,8.6625,,S,315096.0
0,2,Mr,male,34.0,1,0,21.0,,S,28664.0
0,3,Mr,male,51.0,0,0,7.75,,S,347064.0
1,2,Master,male,3.0,1,1,18.75,,S,29106.0
0,3,Mr,male,21.0,0,0,7.775,,S,312992.0
0,3,Miss,female,,3,1,25.4667,,S,4133.0
0,3,Mr,male,,0,0,7.8958,,S,349222.0
0,3,Mr,male,,0,0,6.8583,,Q,394140.0
1,1,Miss,female,33.0,1,0,90.0,C78,Q,19928.0
0,2,Mr,male,,0,0,0.0,,S,239853.0
1,3,Mr,male,44.0,0,0,7.925,,S,3101269.0
0,3,Mrs,female,,0,0,8.05,,S,343095.0
1,2,Mrs,female,34.0,1,1,32.5,,S,28220.0
1,2,Miss,female,18.0,0,2,13.0,,S,250652.0
0,2,Mr,male,30.0,0,0,13.0,,S,28228.0
0,3,Miss,female,10.0,0,2,24.15,,S,345773.0
0,3,Mr,male,,0,0,7.8958,,C,349254.0
0,3,Mr,male,21.0,0,0,7.7333,,Q,13032.0
0,3,Mr,male,29.0,0,0,7.875,,S,315082.0
0,3,Mrs,female,28.0,1,1,14.4,,S,347080.0
0,3,Mr,male,18.0,1,1,20.2125,,S,370129.0
0,3,Mr,male,,0,0,7.25,,S,34244.0
1,2,Mrs,female,28.0,1,0,26.0,,S,2003.0
1,2,Miss,female,19.0,0,0,26.0,,S,250655.0
0,3,Mr,male,,0,0,7.75,,Q,364851.0
1,3,Mr,male,32.0,0,0,8.05,E10,S,392078.0
1,1,Mr,male,28.0,0,0,26.55,C52,S,110564.0
1,3,Mrs,female,,1,0,16.1,,S,376564.0
1,2,Mrs,female,42.0,1,0,26.0,,S,3085.0
0,3,Mr,male,17.0,0,0,7.125,,S,3101274.0
0,1,Mr,male,50.0,1,0,55.9,E44,S,13507.0
1,1,Miss,female,14.0,1,2,120.0,B96 B98,S,113760.0
0,3,Miss,female,21.0,2,2,34.375,,S,6608.0
1,2,Mrs,female,24.0,2,3,18.75,,S,29106.0
0,1,Mr,male,64.0,1,4,263.0,C23 C25 C27,S,19950.0
0,2,Mr,male,31.0,0,0,10.5,,S,18723.0
1,2,Mrs,female,45.0,1,1,26.25,,S,13529.0
0,3,Mr,male,20.0,0,0,9.5,,S,345769.0
0,3,Mr,male,25.0,1,0,7.775,,S,347076.0
1,2,Ms,female,28.0,0,0,13.0,,S,230434.0
1,3,Mr,male,,0,0,8.1125,,S,65306.0
1,1,Master,male,4.0,0,2,81.8583,A34,S,33638.0
1,2,Miss,female,13.0,0,1,19.5,,S,250644.0
1,1,Mr,male,34.0,0,0,26.55,,S,113794.0
1,3,Miss,female,5.0,2,1,19.2583,,C,2666.0
1,1,Major,male,52.0,0,0,30.5,C104,S,113786.0
0,2,Mr,male,36.0,1,2,27.75,,S,34651.0
0,3,Mr,male,,1,0,19.9667,,S,65303.0
0,1,Mr,male,30.0,0,0,27.75,C111,C,113051.0
1,1,Mr,male,49.0,1,0,89.1042,C92,C,17453.0
0,3,Mr,male,,0,0,8.05,,S,2817.0
1,3,Mr,male,29.0,0,0,7.8958,,C,349240.0
